residue,drugbank_id,associated_mbss
9PL,DB01085,"[70377, 70379, 70380, 70381, 70388, 70389, 70394, 70404, 70406, 70410, 70413, 70414, 70419, 70423, 70425, 70429, 70435, 70443, 70458, 70459]"
A04,DB07304,"[81461, 81462]"
A11,DB07306,"[68749, 68750, 68836, 68837]"
A12,DB03148,"[78218, 78219, 78238, 78239, 78262, 78263, 78281, 78282, 78802, 78803, 127652, 130747, 130748, 130749, 130750]"
A18,DB07308,"[81463, 81464]"
A19,DB07309,"[80871, 80872]"
A1APA,DB09065,"[77033, 77034]"
A1Z,DB12255,"[52942, 89304]"
A2G,DB03567,"[80214, 111566, 111567, 111568, 111569, 111570, 111571, 134300, 134301, 134302, 134303, 134304, 134305]"
A2P,DB02098,"[86682, 86721, 86733, 86740, 86746]"
A3P,DB01812,"[94608, 94609, 94614, 94615, 94624, 94625, 94656, 94657, 101526, 101527, 130439]"
A41,DB07313,"[80129, 80130]"
A55,DB07318,"[68759, 68760, 68766, 68767]"
A5P,DB03745,"[110783, 110784, 110785, 110786]"
A75,DB07322,"[80125, 80126]"
A84,DB07323,"[80139, 80140]"
AAE,DB01762,"[118438, 118439, 118440, 118441]"
AAG,DB01985,[43020]
AAR,DB02299,[89563]
